t (s),q_cond (W/cm2),q_inc (W/cm2),T_s (K)
107.75,-1.52899084110345,0.4427984831188,792.845913181544
108,-1.50841631732572,0.439968341526644,790.531297207216
108.25,-1.48371780321776,0.442530615504592,788.323255685612
108.5,-1.45928583141006,0.445685985569309,786.183330479153
108.75,-1.43708969257206,0.447148947949131,784.08111506376
109,-1.41920317733719,0.444434849804703,781.975458596641
109.25,-1.4148818184762,0.426895011657535,779.72219214661
109.5,-1.41044250140092,0.409345143112948,777.435854002864
109.75,-1.39423265087805,0.405076645743041,775.288312834722
110,-1.37991265309551,0.399361147199189,773.169799347663
110.25,-1.36294779086573,0.397135459069029,771.124169444214
110.5,-1.34880419747474,0.392346452404657,769.089956125817
110.75,-1.3338033541611,0.388948836299127,767.097547878302
111,-1.31569939337393,0.389508753571442,765.183096390927
111.25,-1.30017376738513,0.38777760314633,763.285868935652
111.5,-1.28381896803074,0.387407983358712,761.433570990934
111.75,-1.271799660702,0.382657880772506,759.562617646591
112,-1.26398873830499,0.373464499434042,757.651233722595
112.25,-1.25714363147713,0.36329905632986,755.724563342665
112.5,-1.24712187563064,0.356803289725112,753.839527266644
112.75,-1.23377864037925,0.354325839149358,752.020660791825
113,-1.22382096534948,0.348522325521686,750.195415747304
113.25,-1.21262516307789,0.344366473759188,748.404697235444
113.5,-1.20041772647177,0.341663700840664,746.653079801413
113.75,-1.19089846130173,0.336327880016673,744.895592129001
114,-1.17923450005484,0.333608663817342,743.181999714278
114.25,-1.16799648141045,0.330758217089204,741.491948578535
114.5,-1.15790857924908,0.326935051764195,739.811761928647
114.75,-1.14706556474429,0.324200586488163,738.160752701591
115,-1.13790129799646,0.319891206903315,736.511344531741
115.25,-1.12979323649724,0.314625268365938,734.86310222616
115.5,-1.11909684715176,0.312413992289237,733.261745372572
115.75,-1.10947912400714,0.309310149110744,731.673143749008
116,-1.10151449727491,0.304619139304394,730.082440859243
116.25,-1.09276904061066,0.300968043104478,728.514156851892
116.5,-1.08477983660351,0.296703183354282,726.953880686443
116.75,-1.07508785070949,0.294515230304255,725.431588912236
117,-1.06775910473454,0.289980268949835,723.90175271941
117.25,-1.05954573172576,0.286579838177185,722.394688020172
117.5,-1.05212225675826,0.282515155542645,720.894590169476
117.75,-1.04412189205686,0.279261508777199,719.41593016949
118,-1.03678726441655,0.275476856207211,717.945962905188
118.25,-1.02965825036141,0.271639892012979,716.487364782263
118.5,-1.02239253253346,0.268123087209217,715.044429797781
118.75,-1.01493993748211,0.264990520886338,713.619357939939
119,-1.00308404384187,0.266900263958879,712.272490873767
119.25,-1.03626429606888,0.219520549513851,710.33631729522
119.5,-0.404657372131694,0.903384204409983,717.385360340813
119.75,0.0317727833917908,1.39935926103658,725.17220730416
